scenario,strategy,repeat,total_time_ms,successful,failed,timeouts,total_requests,avg_wait_ms,max_wait_ms,total_wait_ms,avg_elapsed_ms,variance_ms
A,fixed,1,129.8,3,0,0,3,0.01,0.02,0.04,94.11,0.0
A,fixed,2,138.72,3,0,0,3,0.0,0.01,0.01,101.57,0.0
A,fixed,3,147.99,3,0,0,3,0.0,0.01,0.01,100.43,0.0
A,fixed,4,152.14,3,0,0,3,0.02,0.02,0.05,114.42,0.0
A,fixed,5,188.54,3,0,0,3,0.01,0.01,0.03,156.33,0.0
A,fixed,6,124.35,3,0,0,3,0.02,0.02,0.05,101.28,0.0
A,fixed,7,141.75,3,0,0,3,0.01,0.02,0.04,103.06,0.0
A,fixed,8,127.13,3,0,0,3,0.02,0.03,0.05,93.0,0.0
A,fixed,9,138.91,3,0,0,3,0.01,0.01,0.03,94.94,0.0
A,fixed,10,133.65,3,0,0,3,0.01,0.03,0.04,90.9,0.0
A,fixed,11,149.41,3,0,0,3,0.01,0.01,0.02,99.63,0.0
A,fixed,12,133.04,3,0,0,3,0.01,0.01,0.02,91.52,0.0
A,fixed,13,133.93,3,0,0,3,0.0,0.01,0.01,95.08,0.0
A,fixed,14,123.08,3,0,0,3,0.0,0.01,0.01,90.46,0.0
A,fixed,15,133.97,3,0,0,3,0.01,0.01,0.02,90.4,0.0
A,fixed,16,148.27,3,0,0,3,0.0,0.01,0.01,99.46,0.0
A,fixed,17,126.22,3,0,0,3,0.01,0.01,0.03,94.95,0.0
A,fixed,18,133.36,3,0,0,3,0.0,0.01,0.01,89.26,0.0
A,fixed,19,140.51,3,0,0,3,0.0,0.01,0.01,103.96,0.0
A,fixed,20,142.36,3,0,0,3,0.0,0.01,0.01,95.43,0.0
A,fixed,21,134.51,3,0,0,3,0.01,0.01,0.03,100.03,0.0
A,fixed,22,139.77,3,0,0,3,0.01,0.01,0.03,100.97,0.0
A,fixed,23,141.44,3,0,0,3,0.01,0.01,0.03,102.24,0.0
A,fixed,24,141.08,3,0,0,3,0.0,0.01,0.01,94.56,0.0
A,fixed,25,142.93,3,0,0,3,0.0,0.01,0.01,103.35,0.0
A,fixed,26,135.43,3,0,0,3,0.0,0.01,0.01,93.72,0.0
A,fixed,27,135.87,3,0,0,3,0.01,0.01,0.03,102.2,0.0
A,fixed,28,126.34,3,0,0,3,0.0,0.01,0.01,90.31,0.0
A,fixed,29,117.3,3,0,0,3,0.0,0.01,0.01,85.29,0.0
A,fixed,30,142.21,3,0,0,3,0.0,0.01,0.01,98.02,0.0
A,timeout_race,1,140.28,3,0,0,3,0.0,0.0,0.0,96.7,0.0
A,timeout_race,2,132.75,3,0,0,3,0.0,0.0,0.0,94.89,0.0
A,timeout_race,3,149.91,3,0,0,3,0.0,0.0,0.0,98.03,0.0
A,timeout_race,4,132.56,3,0,0,3,0.0,0.0,0.0,95.06,0.0
A,timeout_race,5,132.41,3,0,0,3,0.0,0.0,0.0,97.26,0.0
A,timeout_race,6,134.76,3,0,0,3,0.0,0.0,0.0,99.33,0.0
A,timeout_race,7,152.68,3,0,0,3,0.0,0.0,0.0,103.89,0.0
A,timeout_race,8,130.77,3,0,0,3,0.0,0.0,0.0,95.7,0.0
